created_at,field1,field2
2025-09-25 10:57:55,1,occupied
2025-09-25 10:58:00,1,occupied
2025-09-25 10:58:08,1,occupied
2025-09-25 10:58:08,1,occupied
2025-09-25 10:58:13,1,occupied
2025-09-25 10:58:21,1,occupied
2025-09-25 10:58:26,1,occupied
2025-09-25 10:58:34,1,occupied
2025-09-25 10:58:39,1,occupied
2025-09-25 10:58:47,1,occupied
2025-09-25 10:58:49,1,occupied
2025-09-25 10:58:55,1,occupied
2025-09-25 10:59:06,1,occupied
2025-09-25 10:59:08,1,occupied
2025-09-25 10:59:13,1,occupied
2025-09-25 10:59:18,1,occupied
2025-09-25 10:59:26,1,occupied
2025-09-25 10:59:31,1,occupied
2025-09-25 10:59:36,1,occupied
2025-09-25 10:59:42,1,occupied
2025-09-25 10:59:47,1,occupied
2025-09-25 10:59:52,1,occupied
2025-09-25 10:59:57,1,occupied
2025-09-25 11:00:06,1,occupied
2025-09-25 11:00:08,1,occupied
2025-09-25 11:00:12,1,occupied
2025-09-25 11:00:18,1,occupied
2025-09-25 11:00:23,1,occupied
2025-09-25 11:00:28,1,occupied
2025-09-25 11:00:33,1,occupied
2025-09-25 11:00:38,1,occupied
2025-09-25 11:00:43,1,occupied
2025-09-25 11:00:48,1,occupied
2025-09-25 11:01:07,1,occupied
2025-09-25 11:01:10,1,occupied
2025-09-25 11:01:22,1,occupied
2025-09-25 11:01:27,1,occupied
2025-09-25 11:01:29,1,occupied
2025-09-25 11:01:34,1,occupied
2025-09-25 11:01:44,1,occupied
2025-09-25 11:01:53,1,occupied
2025-09-25 11:01:59,1,occupied
2025-09-25 11:02:01,1,occupied
2025-09-25 11:02:06,1,occupied
2025-09-25 11:02:12,1,occupied
2025-09-25 11:02:24,1,occupied
2025-09-25 11:02:30,1,occupied
2025-09-25 11:02:47,1,occupied
2025-09-25 11:02:52,1,occupied
2025-09-25 11:02:53,1,occupied
2025-09-25 11:02:57,1,occupied
2025-09-25 11:03:02,1,occupied
2025-09-25 11:03:17,1,occupied
2025-09-25 11:03:22,1,occupied
2025-09-25 11:03:24,1,occupied
2025-09-25 11:03:24,1,occupied
2025-09-25 11:03:33,1,occupied
2025-09-25 11:03:41,1,occupied
2025-09-25 11:04:18,1,occupied
2025-09-25 11:04:23,1,occupied
2025-09-25 11:04:45,1,occupied
2025-09-25 11:04:50,1,occupied
2025-09-25 11:04:53,1,occupied
2025-09-25 11:04:54,1,occupied
2025-09-25 11:05:12,1,occupied
2025-09-25 11:05:15,1,occupied
2025-09-25 11:05:20,1,occupied
2025-09-25 11:05:38,1,occupied
2025-09-25 11:05:41,1,occupied
2025-09-25 11:05:44,1,occupied
2025-09-25 11:05:51,1,occupied
2025-09-25 11:06:08,1,occupied
2025-09-25 11:06:15,1,occupied
2025-09-25 11:06:34,1,occupied
2025-09-25 11:06:34,1,occupied
2025-09-25 11:06:43,1,occupied
2025-09-25 11:07:05,1,occupied
2025-09-25 11:07:06,1,occupied
2025-09-25 11:07:06,1,occupied
2025-09-25 11:07:09,1,occupied
2025-09-25 11:07:12,1,occupied
2025-09-25 11:07:18,1,occupied
2025-09-25 11:07:26,1,occupied
2025-09-25 11:07:39,1,occupied
2025-09-25 11:07:50,1,occupied
2025-09-25 11:07:59,1,occupied
2025-09-25 11:07:59,1,occupied
2025-09-25 11:08:12,1,occupied
2025-09-25 11:08:23,1,occupied
2025-09-25 11:08:32,1,occupied
2025-09-25 11:08:36,1,occupied
2025-09-25 11:08:40,1,occupied
2025-09-25 11:08:47,1,occupied
2025-09-25 11:08:55,1,occupied
2025-09-25 11:08:58,1,occupied
2025-09-25 11:09:08,1,occupied
2025-09-25 11:09:09,1,occupied
2025-09-25 11:09:14,1,occupied
2025-09-25 11:09:19,1,occupied
2025-09-25 11:09:27,1,occupied
2025-09-25 11:09:32,1,occupied
2025-09-25 11:09:40,1,occupied
2025-09-25 11:09:56,1,occupied
2025-09-25 11:09:56,1,occupied
2025-09-25 11:10:08,1,occupied
2025-09-25 11:10:13,1,occupied
2025-09-25 11:10:23,1,occupied
